订单号,客户,板件条码,板件备注,项目地址,房间,厚度,材质,高光板,颜色,板件名称,成品长度,成品宽度,数量,纹理,前封边,后封边,左封边,右封边,门板
250727-1021,朗力,	7535873039572,,电台路599弄76号302,厨房小阳台柜,18,欧松板,非高光板,S705,厨房小阳台柜_地柜A_背板01,819,511,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7535873040059,,电台路599弄76号302,厨房小阳台柜,18,欧松板,非高光板,S705,厨房小阳台柜_地柜A_抽屉03_抽屉面板01,543,255,1,横纹,1,1,1,1,非门板
250727-1021,朗力,	7535873040066,,电台路599弄76号302,厨房小阳台柜,18,欧松板,非高光板,S705,厨房小阳台柜_地柜A_抽屉03_抽盒前板01,449,180,1,横纹,1,1,1,1,非门板
250727-1021,朗力,	7535873040073,,电台路599弄76号302,厨房小阳台柜,18,欧松板,非高光板,S705,厨房小阳台柜_地柜A_抽屉03_抽屉右板01,250,180,1,横纹,1,1,1,1,非门板
250727-1021,朗力,	7535873040080,,电台路599弄76号302,厨房小阳台柜,18,欧松板,非高光板,S705,厨房小阳台柜_地柜A_抽屉03_抽屉左板01,250,180,1,横纹,1,1,1,1,非门板
250727-1021,朗力,	7535873040097,,电台路599弄76号302,厨房小阳台柜,18,欧松板,非高光板,S705,厨房小阳台柜_地柜A_抽屉03_抽屉后板01,449,180,1,横纹,1,1,1,1,非门板
250727-1021,朗力,	7535873040035,,电台路599弄76号302,厨房小阳台柜,18,欧松板,非高光板,S705,厨房小阳台柜_地柜A_抽屉03_抽屉底板01,449,214,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7535873040134,,电台路599弄76号302,厨房小阳台柜,18,欧松板,非高光板,S705,厨房小阳台柜_地柜A_抽屉02_抽屉面板01,543,255,1,横纹,1,1,1,1,非门板
250727-1021,朗力,	7535873040141,,电台路599弄76号302,厨房小阳台柜,18,欧松板,非高光板,S705,厨房小阳台柜_地柜A_抽屉02_抽盒前板01,449,180,1,横纹,1,1,1,1,非门板
250727-1021,朗力,	7535873040158,,电台路599弄76号302,厨房小阳台柜,18,欧松板,非高光板,S705,厨房小阳台柜_地柜A_抽屉02_抽屉右板01,250,180,1,横纹,1,1,1,1,非门板
250727-1021,朗力,	7535873040165,,电台路599弄76号302,厨房小阳台柜,18,欧松板,非高光板,S705,厨房小阳台柜_地柜A_抽屉02_抽屉左板01,250,180,1,横纹,1,1,1,1,非门板
250727-1021,朗力,	7535873040172,,电台路599弄76号302,厨房小阳台柜,18,欧松板,非高光板,S705,厨房小阳台柜_地柜A_抽屉02_抽屉后板01,449,180,1,横纹,1,1,1,1,非门板
250727-1021,朗力,	7535873040110,,电台路599弄76号302,厨房小阳台柜,18,欧松板,非高光板,S705,厨房小阳台柜_地柜A_抽屉02_抽屉底板01,449,214,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7535873040219,,电台路599弄76号302,厨房小阳台柜,18,欧松板,非高光板,S705,厨房小阳台柜_地柜A_抽屉01_抽屉面板01,543,255,1,横纹,1,1,1,1,非门板
250727-1021,朗力,	7535873040226,,电台路599弄76号302,厨房小阳台柜,18,欧松板,非高光板,S705,厨房小阳台柜_地柜A_抽屉01_抽盒前板01,449,180,1,横纹,1,1,1,1,非门板
250727-1021,朗力,	7535873040233,,电台路599弄76号302,厨房小阳台柜,18,欧松板,非高光板,S705,厨房小阳台柜_地柜A_抽屉01_抽屉右板01,250,180,1,横纹,1,1,1,1,非门板
250727-1021,朗力,	7535873040240,,电台路599弄76号302,厨房小阳台柜,18,欧松板,非高光板,S705,厨房小阳台柜_地柜A_抽屉01_抽屉左板01,250,180,1,横纹,1,1,1,1,非门板
250727-1021,朗力,	7535873040257,,电台路599弄76号302,厨房小阳台柜,18,欧松板,非高光板,S705,厨房小阳台柜_地柜A_抽屉01_抽屉后板01,449,180,1,横纹,1,1,1,1,非门板
250727-1021,朗力,	7535873040196,,电台路599弄76号302,厨房小阳台柜,18,欧松板,非高光板,S705,厨房小阳台柜_地柜A_抽屉01_抽屉底板01,449,214,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7535873040813,,电台路599弄76号302,厨房小阳台柜,18,欧松板,非高光板,S705,厨房小阳台柜_地柜A_收口条01_L收口辅板01,855,70,1,无纹理,1,1,1,1,非门板
250727-1021,朗力,	7535873040820,,电台路599弄76号302,厨房小阳台柜,18,欧松板,非高光板,S705,厨房小阳台柜_地柜A_收口条01_L收口面板01,855,30,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7535873040844,,电台路599弄76号302,厨房小阳台柜,18,欧松板,非高光板,S705,厨房小阳台柜_地柜A_收口条02_L收口辅板01,855,70,1,无纹理,1,1,1,1,非门板
250727-1021,朗力,	7535873040851,,电台路599弄76号302,厨房小阳台柜,18,欧松板,非高光板,S705,厨房小阳台柜_地柜A_收口条02_L收口面板01,855,30,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7535873044682,,电台路599弄76号302,厨房,18,欧松板,非高光板,S705,厨房_地柜C_拉条01,600,90,1,横纹,1,1,1,1,非门板
250727-1021,朗力,	7535873044903,,电台路599弄76号302,厨房,18,欧松板,非高光板,S705,厨房_地柜C_竖隔板01,735,590,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7535873045580,,电台路599弄76号302,厨房,18,欧松板,非高光板,S705,厨房_地柜C_柜门01_单开门01_左开,705,458,1,竖纹,1,1,1,1,门板
250727-1021,朗力,	7535873046105,,电台路599弄76号302,厨房,18,欧松板,非高光板,S705,厨房_地柜C_抽屉03_抽屉面板01,459,215,1,横纹,1,1,1,1,非门板
250727-1021,朗力,	7535873046181,,电台路599弄76号302,厨房,18,欧松板,非高光板,S705,厨房_地柜C_抽屉02_抽屉面板01,459,215,1,横纹,1,1,1,1,非门板
250727-1021,朗力,	7535873046266,,电台路599弄76号302,厨房,18,欧松板,非高光板,S705,厨房_地柜C_抽屉01_抽屉面板01,459,215,1,横纹,1,1,1,1,非门板
250727-1021,朗力,	7535873047843,,电台路599弄76号302,厨房,18,欧松板,非高光板,S705,厨房_地柜A_竖隔板01,590,785,1,横纹,1,1,1,1,非门板
250727-1021,朗力,	7535873048307,,电台路599弄76号302,厨房,18,欧松板,非高光板,S705,厨房_地柜A_柜门01_双开左01_左开,755,440,1,竖纹,1,1,1,1,门板
250727-1021,朗力,	7535873048338,,电台路599弄76号302,厨房,18,欧松板,非高光板,S705,厨房_地柜A_柜门01_双开右01_右开,755,440,1,竖纹,1,1,1,1,门板
250727-1021,朗力,	7535873048550,,电台路599弄76号302,厨房,18,欧松板,非高光板,S705,厨房_地柜A_收口条01_L收口面板01,785,30,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7535873050997,,电台路599弄76号302,厨房,18,欧松板,非高光板,S705,厨房_地柜B_柜门01_单开门01,362,597,1,竖纹,1,1,1,1,门板
250727-1021,朗力,	7535873051048,,电台路599弄76号302,厨房,18,欧松板,非高光板,S705,厨房_地柜B_柜门02_单开门01,362,597,1,竖纹,1,1,1,1,门板
250727-1021,朗力,	7535873051406,,电台路599弄76号302,厨房,18,欧松板,非高光板,S705,厨房_地柜B_抽屉01_抽屉面板01,362,362,1,横纹,1,1,1,1,非门板
250727-1021,朗力,	7535873051482,,电台路599弄76号302,厨房,18,欧松板,非高光板,S705,厨房_地柜B_抽屉03_抽屉面板01,362,179.5,1,横纹,1,1,1,1,非门板
250727-1021,朗力,	7535873051567,,电台路599弄76号302,厨房,18,欧松板,非高光板,S705,厨房_地柜B_抽屉02_抽屉面板01,362,179.5,1,横纹,1,1,1,1,非门板
250727-1021,朗力,	7535873052632,,电台路599弄76号302,厨房,18,欧松板,非高光板,S705,厨房_地柜B_收口条01_侧收口01,785,580,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7535873052915,,电台路599弄76号302,厨房,18,欧松板,非高光板,S705,厨房_地柜B_收口条02_L收口面板01,785,30,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7535873057866,,电台路599弄76号302,厨房,18,欧松板,非高光板,S705,厨房_吊柜B_柜门01_双开左01_左开,699,440,1,竖纹,1,1,1,1,门板
250727-1021,朗力,	7535873057897,,电台路599弄76号302,厨房,18,欧松板,非高光板,S705,厨房_吊柜B_柜门01_双开右01_右开,699,440,1,竖纹,1,1,1,1,门板
250727-1021,朗力,	7535873058054,,电台路599弄76号302,厨房,18,欧松板,非高光板,S705,厨房_吊柜B_柜门03_双开左01_左开,699,452,1,竖纹,1,1,1,1,门板
250727-1021,朗力,	7535873058085,,电台路599弄76号302,厨房,18,欧松板,非高光板,S705,厨房_吊柜B_柜门03_双开右01_右开,699,452,1,竖纹,1,1,1,1,门板
250727-1021,朗力,	7535873057590,,电台路599弄76号302,厨房,18,欧松板,非高光板,S705,厨房_吊柜B_柜门02_单开门01_右开,699,304,1,竖纹,1,1,1,1,门板
250727-1021,朗力,	7535873058825,,电台路599弄76号302,厨房,18,欧松板,非高光板,S705,厨房_吊柜B_收口条02_平收口板01,709,31,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7535873060460,,电台路599弄76号302,厨房,18,欧松板,非高光板,S705,厨房_吊柜A_收口条02_平收口板01,709,31,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7535873060972,,电台路599弄76号302,厨房,18,欧松板,非高光板,S705,厨房_吊柜A_收口条01_侧收口01,709,350,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7535873061207,,电台路599弄76号302,厨房,18,欧松板,非高光板,S705,厨房_吊柜A_柜门01_双开左01_左开,699,422,1,竖纹,1,1,1,1,门板
250727-1021,朗力,	7535873061238,,电台路599弄76号302,厨房,18,欧松板,非高光板,S705,厨房_吊柜A_柜门01_双开右01_右开,699,422,1,竖纹,1,1,1,1,门板
250727-1021,朗力,	7535873061283,,电台路599弄76号302,厨房,18,欧松板,非高光板,S705,厨房_吊柜A_柜门02_双开左01_左开,699,353,1,竖纹,1,1,1,1,门板
250727-1021,朗力,	7535873061313,,电台路599弄76号302,厨房,18,欧松板,非高光板,S705,厨房_吊柜A_柜门02_双开右01_右开,699,353,1,竖纹,1,1,1,1,门板
250727-1021,朗力,	7535873062891,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_柜A_左立板01,2298,325,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7535873062921,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_柜A_右立板01,2338,330,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7535873062952,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_柜A_顶板01,362,325,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7535873063027,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_柜A_踢脚线01_踢脚线前挡板01,362,60,1,横纹,1,1,1,1,非门板
250727-1021,朗力,	7535873063034,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_柜A_踢脚线01_踢脚线后挡板01,60,362,1,无纹理,1,1,1,1,非门板
250727-1021,朗力,	7535873063003,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_柜A_底板01,362,325,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7535873063096,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_柜A_背板01,2202,362,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7535873063300,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_柜A_收口条01_侧收口01,2338,350,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7535873063409,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_柜A_收口条02_L收口辅板01,380,70,1,无纹理,1,1,1,1,非门板
250727-1021,朗力,	7535873063416,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_柜A_收口条02_L收口面板01,380,40,1,横纹,1,1,1,1,非门板
250727-1021,朗力,	7535873063522,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_柜A_柜门01_左开拉直器01_左开,2318,395,1,竖纹,1,1,1,1,门板
250727-1021,朗力,	7535873063683,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_柜A_横隔板02,362,305,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7535873063737,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_柜A_活动层板03,361,305,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7535873063782,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_柜A_横隔板01,362,305,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7535873063836,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_柜A_活动层板02,361,305,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7535873063881,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_柜A_活动层板01,361,305,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7535873064123,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_柜B_右立板01,2298,325,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7535873064130,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_柜B_左立板01,2338,330,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7535873064147,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_柜B_顶板01,362,325,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7535873064154,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_柜B_踢脚线01_踢脚线前挡板01,362,60,1,横纹,1,1,1,1,非门板
250727-1021,朗力,	7535873064161,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_柜B_踢脚线01_踢脚线后挡板01,60,362,1,无纹理,1,1,1,1,非门板
250727-1021,朗力,	7535873064178,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_柜B_底板01,362,325,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7535873064185,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_柜B_背板01,2202,362,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7535873064192,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_柜B_收口条01_侧收口01,2338,70,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7535873064208,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_柜B_收口条02_L收口辅板01,380,70,1,无纹理,1,1,1,1,非门板
250727-1021,朗力,	7535873064215,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_柜B_收口条02_L收口面板01,380,40,1,横纹,1,1,1,1,非门板
250727-1021,朗力,	7535873064222,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_柜B_柜门01_右开拉直器01_右开,2318,395,1,竖纹,1,1,1,1,门板
250727-1021,朗力,	7535873064246,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_柜B_横隔板02,362,305,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7535873064253,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_柜B_活动层板03,361,305,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7535873064260,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_柜B_横隔板01,362,305,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7535873064277,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_柜B_活动层板02,361,305,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7535873064284,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_柜B_活动层板01,361,305,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7536633034738,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_地柜A_右立板01,885,325,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7536633034769,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_地柜A_左立板01,885,325,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7536633034790,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_地柜A_中立板01,885,325,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7536633034844,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_地柜A_中立板02,885,325,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7536633034905,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_地柜A_顶板01,758,297,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7536633034929,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_地柜A_顶板02,758,297,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7536633034998,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_地柜A_踢脚线01_踢脚线前挡板01,758,60,1,横纹,1,1,1,1,非门板
250727-1021,朗力,	7536633035001,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_地柜A_踢脚线01_踢脚线后挡板01,60,758,1,无纹理,1,1,1,1,非门板
250727-1021,朗力,	7536633034974,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_地柜A_底板01,758,325,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7536633035056,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_地柜A_踢脚线02_踢脚线前挡板01,758,60,1,横纹,1,1,1,1,非门板
250727-1021,朗力,	7536633035063,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_地柜A_踢脚线02_踢脚线后挡板01,60,758,1,无纹理,1,1,1,1,非门板
250727-1021,朗力,	7536633035032,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_地柜A_底板02,758,325,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7536633035124,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_地柜A_背板01,789,758,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7536633035148,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_地柜A_背板02,789,758,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7536633035179,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_地柜A_活动层板01,757,305,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7536633037371,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_地柜A_抽屉01_抽屉面板01,791,262,1,横纹,1,1,1,1,非门板
250727-1021,朗力,	7536633037388,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_地柜A_抽屉01_抽盒前板01,696,160,1,横纹,1,1,1,1,非门板
250727-1021,朗力,	7536633037395,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_地柜A_抽屉01_抽屉右板01,300,160,1,横纹,1,1,1,1,非门板
250727-1021,朗力,	7536633037401,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_地柜A_抽屉01_抽屉左板01,300,160,1,横纹,1,1,1,1,非门板
250727-1021,朗力,	7536633037418,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_地柜A_抽屉01_抽屉后板01,696,160,1,横纹,1,1,1,1,非门板
250727-1021,朗力,	7536633037357,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_地柜A_抽屉01_抽屉底板01,696,264,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7536633037456,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_地柜A_抽屉02_抽屉面板01,791,262,1,横纹,1,1,1,1,非门板
250727-1021,朗力,	7536633037463,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_地柜A_抽屉02_抽盒前板01,696,180,1,横纹,1,1,1,1,非门板
250727-1021,朗力,	7536633037470,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_地柜A_抽屉02_抽屉右板01,300,180,1,横纹,1,1,1,1,非门板
250727-1021,朗力,	7536633037487,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_地柜A_抽屉02_抽屉左板01,300,180,1,横纹,1,1,1,1,非门板
250727-1021,朗力,	7536633037494,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_地柜A_抽屉02_抽屉后板01,696,180,1,横纹,1,1,1,1,非门板
250727-1021,朗力,	7536633037432,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_地柜A_抽屉02_抽屉底板01,696,264,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7536633037609,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_地柜A_抽屉03_抽屉面板01,791,261,1,横纹,1,1,1,1,非门板
250727-1021,朗力,	7536633037616,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_地柜A_抽屉03_抽盒前板01,696,180,1,横纹,1,1,1,1,非门板
250727-1021,朗力,	7536633037623,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_地柜A_抽屉03_抽屉右板01,300,180,1,横纹,1,1,1,1,非门板
250727-1021,朗力,	7536633037630,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_地柜A_抽屉03_抽屉左板01,300,180,1,横纹,1,1,1,1,非门板
250727-1021,朗力,	7536633037647,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_地柜A_抽屉03_抽屉后板01,696,180,1,横纹,1,1,1,1,非门板
250727-1021,朗力,	7536633037586,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_地柜A_抽屉03_抽屉底板01,696,264,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7536633038323,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_地柜A_柜门01_双开左01_左开,845,394,1,竖纹,1,1,1,1,门板
250727-1021,朗力,	7536633038354,,电台路599弄76号302,餐边柜,18,欧松板,非高光板,S705,餐边柜_地柜A_柜门01_双开右01_右开,845,394,1,竖纹,1,1,1,1,门板
250727-1021,朗力,	7536633052220,,电台路599弄76号302,主卧床边柜,18,欧松板,非高光板,S705,主卧床边柜_柜A_左立板01,2460,580,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7536633052251,,电台路599弄76号302,主卧床边柜,18,欧松板,非高光板,S705,主卧床边柜_柜A_右立板01,2460,580,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7536633052282,,电台路599弄76号302,主卧床边柜,18,欧松板,非高光板,S705,主卧床边柜_柜A_中立板01,2460,580,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7536633052336,,电台路599弄76号302,主卧床边柜,18,欧松板,非高光板,S705,主卧床边柜_柜A_顶板01,398,580,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7536633052350,,电台路599弄76号302,主卧床边柜,18,欧松板,非高光板,S705,主卧床边柜_柜A_顶板02,823,580,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7536633052428,,电台路599弄76号302,主卧床边柜,18,欧松板,非高光板,S705,主卧床边柜_柜A_踢脚线01_踢脚线前挡板01,398,60,1,横纹,1,1,1,1,非门板
250727-1021,朗力,	7536633052435,,电台路599弄76号302,主卧床边柜,18,欧松板,非高光板,S705,主卧床边柜_柜A_踢脚线01_踢脚线后挡板01,60,398,1,无纹理,1,1,1,1,非门板
250727-1021,朗力,	7536633052404,,电台路599弄76号302,主卧床边柜,18,欧松板,非高光板,S705,主卧床边柜_柜A_底板01,398,580,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7536633052558,,电台路599弄76号302,主卧床边柜,18,欧松板,非高光板,S705,主卧床边柜_柜A_背板02,2364,398,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7536633052572,,电台路599弄76号302,主卧床边柜,18,欧松板,非高光板,S705,主卧床边柜_柜A_背板01,2442,823,1,竖纹,1,1,1,1,非门板
250727-1021,朗力,	7536633052626,,电台路599弄76号302,主卧床边柜,18,欧松板,非高光板,S705,主卧床边柜_柜A_踢脚线02_踢脚线前挡板01,823,60,1,横纹,1,1,1,1,非门板
